Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
662,14,10,4,3.357582,者/k
663,14,11,3,3.357582,刚刚/d
664,12,0,12,3.356813,加速/v
665,13,6,7,3.351288,冷/a
666,14,12,2,3.350960,年/m
667,12,3,9,3.349660,下降/v
668,12,0,12,3.349660,倾斜/v
669,12,2,10,3.349660,发动/vn
670,16,3,13,3.349598,哭/v
671,15,6,9,3.348392,简直/d
672,15,14,1,3.348392,之中/r
673,13,6,7,3.344416,手中/s
674,13,6,7,3.337544,石头/n
675,13,6,7,3.330673,脚下/f
676,13,6,7,3.330673,眼里/s
677,12,10,2,3.328203,脑/n
678,13,2,11,3.323801,闪/v
679,13,4,9,3.323801,令/v
680,12,12,0,3.321050,吴荪/nr
681,15,11,4,3.316405,这位/rz
682,12,2,10,3.313898,尖锐/a
683,12,1,11,3.313898,僵硬/a
684,12,9,3,3.313898,电灯/n
685,12,12,0,3.313898,当儿/t
686,17,9,8,3.311842,快/a
687,13,4,9,3.310057,大笑/v
688,13,9,4,3.310057,楼梯/n
689,13,9,4,3.310057,存在/v
690,12,4,8,3.306745,光明/n
691,16,6,10,3.306237,甚至/d
692,14,13,1,3.304606,字/n
693,13,9,4,3.303185,影子/n
694,12,9,3,3.299592,凛子/a
695,12,4,8,3.299592,热/a
696,13,8,5,3.296313,一群/m
697,13,8,5,3.296313,危险/an
698,12,6,6,3.292440,遥远/a
699,12,9,3,3.292440,安娜/nr
700,13,6,7,3.289441,外/f
701,12,2,10,3.285287,异常/d
702,13,3,10,3.282569,回头/v
703,14,10,4,3.278118,工作/vn
704,13,4,9,3.275697,熟悉/v
705,19,7,12,3.273200,你们/r
706,14,9,5,3.271496,(/x
707,14,3,11,3.271496,再也/d
708,17,13,4,3.269776,啦/y
709,15,7,8,3.265225,该/r
710,14,10,4,3.264874,竟/d
711,14,8,6,3.264874,因此/c
712,14,4,10,3.264874,手里/s
713,12,8,4,3.263830,旁/f
714,12,12,0,3.242372,没想到/l
715,12,4,8,3.242372,明亮/a
716,12,7,5,3.235219,心头/s
717,12,6,6,3.235219,头顶/n
718,14,11,3,3.231764,月/m
719,14,6,8,3.231764,很快/d
720,12,3,9,3.228067,发抖/v
721,13,7,6,3.227593,椅子/n
722,15,14,1,3.220443,您/zg
723,11,1,10,3.219507,发怒/v
724,15,11,4,3.214045,长/a
725,12,4,8,3.213762,客厅/n
726,12,9,3,3.213762,前进/v
727,11,3,8,3.212036,钻出来/v
728,21,4,17,3.209239,跟/p
729,13,9,4,3.206977,老师/n
730,15,11,4,3.201251,子/ng
731,13,10,3,3.200105,结束/v
732,13,8,5,3.200105,风/n
733,11,1,10,3.197095,惊吓/v
734,11,10,1,3.197095,之际/f
735,11,0,11,3.197095,受惊/v
736,15,7,8,3.194853,当然/d
737,12,9,3,3.192304,头脑/n
738,11,10,1,3.189624,要不是/c
739,13,3,10,3.186361,脚/n
740,14,12,2,3.185410,怎样/r
741,11,4,7,3.174683,火光/n
742,11,1,10,3.174683,一间/m
743,12,5,7,3.170846,原因/n
744,12,10,2,3.170846,瓦斯科/nr
745,14,10,4,3.165544,不想/v
746,11,7,4,3.159742,博士/n
747,11,3,8,3.159742,离去/v
748,12,6,6,3.156541,泪水/n
749,12,7,5,3.156541,鼻子/n
750,11,7,4,3.152271,车/zg
751,11,5,6,3.152271,耳边/s
752,11,5,6,3.152271,奔跑/v
753,13,7,6,3.152001,手指/n
754,12,11,1,3.149388,走过/v
755,11,4,7,3.144801,古怪/a
756,11,4,7,3.144801,掠过/v
757,11,5,6,3.144801,进攻/v
758,12,8,4,3.142236,怀里/s
759,11,2,9,3.137330,严厉/ad
760,12,6,6,3.135083,美丽/ns
