rank_mi,rank_t,freq,Freq(L),mi,t,collocate
6368,165,52,9,4.4124,6.872457,冒/v
13288,492,20,8,3.1222,3.958525,于/p
13356,820,12,8,3.0725,3.052301,那时/r
13331,818,12,8,3.0971,3.059281,日子/n
13924,899,11,8,3.0222,2.908383,经过/p
13358,231,43,8,3.0685,5.775762,带/v
9782,354,25,8,3.9055,4.66634,害怕/v
11320,897,10,8,3.6921,2.917611,谭功达/nr
11803,414,22,8,3.5258,4.283184,吹/v
13347,970,10,8,3.0774,2.787631,灯/n
11828,696,13,8,3.516,3.290376,口气/n
11342,481,19,8,3.6873,4.020539,远处/s
9862,802,11,8,3.8296,3.083344,不作声/n
9861,801,11,8,3.8296,3.083344,打着/v
11561,908,10,8,3.5628,2.894673,黄/a
11558,409,22,8,3.5628,4.293494,走进/v
6362,847,10,8,4.4441,3.017007,董小宛/nr
8873,653,13,8,4.2632,3.417787,愣/v
13279,511,19,8,3.1423,3.865227,要是/c
13087,876,11,8,3.2149,2.959413,车/n
9791,621,14,8,3.8921,3.489642,人群/n
9849,1088,8,8,3.8466,2.631816,这天/r
12939,867,11,8,3.306,2.981283,男子/n
9784,668,13,8,3.9007,3.364141,屋子里/n
9142,1061,8,8,4.1222,2.666009,洛瓦/ns
8923,933,9,8,4.2181,2.838811,心事/n
11544,828,11,8,3.5816,3.039604,襄/j
11983,849,11,8,3.4373,3.010444,周/nr
9169,219,40,8,4.0922,5.953732,响/v
8985,607,14,8,4.1775,3.534876,此刻/r
9002,937,9,8,4.1478,2.830752,工夫/n
9005,940,9,8,4.1478,2.830752,台阶/n
8995,226,38,8,4.1751,5.823179,一股/m
8933,1054,8,8,4.2002,2.674557,钟头/n
9535,278,31,8,4.0389,5.229045,显得/v
11933,1127,8,8,3.4633,2.571978,谁知/v
12029,548,17,8,3.3915,3.730211,这位/rz
12000,706,13,8,3.4267,3.270259,女/b
6301,557,15,8,4.5221,3.704428,素心/n
9542,664,13,8,4.0262,3.384258,曼桢/nr
11546,830,11,8,3.5816,3.039604,可爱/v
9188,944,9,8,4.0806,2.822693,眼里/s
9547,949,9,8,4.0165,2.814633,卡/n
11916,539,17,8,3.4803,3.753667,表情/n
11283,475,19,8,3.7354,4.031633,脑袋/n
9137,780,11,8,4.1291,3.127084,妇人/n
13939,836,12,8,3.0009,3.031362,靠/v
13215,639,15,8,3.1896,3.448472,唱/v
13216,734,13,8,3.1879,3.209906,女儿/n
11797,753,12,8,3.5288,3.163976,走过/v
9885,733,12,8,3.7852,3.212833,吴/nr
9891,973,9,8,3.7852,2.782395,郭祥/nr
8924,934,9,8,4.2181,2.838811,出神/v
11276,325,28,8,3.7512,4.898546,打开/v
13927,1092,9,7,3.0165,2.629266,常常/d
13086,1051,9,7,3.2181,2.677623,擦/v
11280,810,11,7,3.7421,3.068764,./m
5327,11,811,7,5.2119,27.709703,想起/v
13065,1169,8,7,3.2409,2.529236,枚/m
11510,602,15,7,3.6046,3.5546,如此/c
9191,786,11,7,4.0747,3.119794,刘/nr
11548,832,11,7,3.5816,3.039604,楼上/s
11513,902,10,7,3.6046,2.902319,仔细/ad
9552,614,14,7,4.0076,3.509028,德/ns
11537,564,16,7,3.5888,3.667548,妻子/n
11528,749,12,7,3.5976,3.177935,方向/n
6098,61,139,7,4.6625,11.3243,出现/v
11542,319,29,7,3.5843,4.936185,一位/m
13082,245,39,7,3.2209,5.575207,跳/v
6317,221,38,7,4.5095,5.89378,脚步声/n
6240,594,14,7,4.5925,3.586571,话题/n
12008,577,16,7,3.4159,3.625236,外/f
8932,1053,8,7,4.2002,2.674557,脸红/n
11960,701,13,7,3.4559,3.276965,一步/m
11928,611,15,7,3.4697,3.523386,院子/n
11924,841,11,7,3.472,3.017734,学校/n
9168,712,12,7,4.0971,3.261691,杜/nr
9170,1215,7,7,4.09,2.490396,交谈/v
9171,1216,7,7,4.09,2.490396,静静地/z
9173,1218,7,7,4.09,2.490396,走去/v
8992,1207,7,7,4.1775,2.499535,一瞬间/m
11295,1266,7,7,3.7181,2.444704,有趣/a
9886,805,11,7,3.7852,3.076054,同学/n
9896,1253,7,7,3.7852,2.453842,过后/t
6394,1185,7,7,4.3701,2.517812,十分钟/m
6346,1173,7,7,4.4771,2.52695,门槛/n
9893,1093,8,7,3.7852,2.623268,)/x
9892,974,9,7,3.7852,2.782395,密斯/ns
8886,529,16,7,4.2409,3.78844,附近/f
9180,1225,7,7,4.09,2.490396,很久/m
8836,562,15,7,4.3228,3.679456,热/a
